Date,Transaction Code,Transaction Type,Amount
01/02/15,AS,DEBIT,782244.38
01/02/15,BA,DEBIT,1042.13
01/02/15,BT,DEBIT,227442.61
01/02/15,DP,CREDIT,-324243.58
01/02/15,DP,DEBIT,114797.81999999999
01/02/15,ES,DEBIT,77505.07
01/02/15,ET,CREDIT,-39656.4
01/02/15,ET,DEBIT,24830.18
01/02/15,FT,CREDIT,-6806.53
01/02/15,FT,DEBIT,20706.13
01/02/15,QC,DEBIT,565434.0
01/02/15,RM,CREDIT,-6309.66
01/02/15,TM,CREDIT,-6668.56
01/02/15,TM,DEBIT,1683.74
01/02/15,TX,DEBIT,2178.69
01/02/15,XR,CREDIT,-450.0
01/05/15,AS,CREDIT,-558.0
01/05/15,AS,DEBIT,439465.02
01/05/15,BT,DEBIT,302412.95
01/05/15,CM,DEBIT,18470.97
01/05/15,ES,DEBIT,110926.04000000001
01/05/15,ET,DEBIT,50346.43
01/05/15,QC,DEBIT,261560.94
01/05/15,RM,CREDIT,-2450.24
01/05/15,TM,CREDIT,-1917.47
01/05/15,TM,DEBIT,6797.92
01/05/15,TX,DEBIT,16103.75
01/06/15,AS,DEBIT,115673.84
01/06/15,BT,DEBIT,112583.47
01/06/15,DM,DEBIT,417.3
01/06/15,ES,DEBIT,48924.55
01/06/15,ET,DEBIT,16847.84
01/06/15,FC,DEBIT,294.35
01/06/15,FT,DEBIT,2110.29
01/06/15,QC,DEBIT,509898.96
01/06/15,RM,DEBIT,1650.0
01/06/15,TM,DEBIT,3524.64
01/06/15,TX,DEBIT,6657.37
01/06/15,UC,DEBIT,1466.25
01/06/15,XR,CREDIT,-489.7
01/07/15,AS,CREDIT,-653.87
01/07/15,AS,DEBIT,73681.87
01/07/15,AT,DEBIT,1000.0
01/07/15,BT,DEBIT,133392.29
01/07/15,DP,CREDIT,-375170.46
01/07/15,DP,DEBIT,256497.0
01/07/15,ES,DEBIT,60419.850000000006
01/07/15,ET,CREDIT,-4247.17
01/07/15,ET,DEBIT,13442.73
01/07/15,FT,DEBIT,4308.8
01/07/15,QC,DEBIT,332104.5
01/07/15,RM,CREDIT,-1499.95
01/07/15,TM,CREDIT,-39905.56
01/07/15,TX,DEBIT,2427.47
01/07/15,XR,CREDIT,-812.51
01/08/15,AS,DEBIT,294309.22000000003
