Date,Transaction Code,Transaction Type,Amount
01/02/15,AS,CREDIT,-286.0
01/02/15,AS,DEBIT,152.0
01/02/15,BA,CREDIT,-13.0
01/02/15,BA,DEBIT,0.0
01/02/15,BT,DEBIT,61.0
01/02/15,DP,CREDIT,-140.0
01/02/15,ES,DEBIT,107.0
01/02/15,ET,CREDIT,-40.0
01/02/15,ET,DEBIT,18.0
01/02/15,FT,CREDIT,-53.0
01/02/15,FT,DEBIT,113.0
01/02/15,QC,DEBIT,0.0
01/02/15,RM,CREDIT,-66.0
01/02/15,TM,CREDIT,-56.0
01/02/15,TM,DEBIT,74.0
01/02/15,TX,DEBIT,69.0
01/02/15,XR,CREDIT,0.0
01/05/15,AS,CREDIT,-201.0
01/05/15,AS,DEBIT,101.0
01/05/15,BT,DEBIT,195.0
01/05/15,CM,CREDIT,-97.0
01/05/15,ES,DEBIT,104.0
01/05/15,ET,CREDIT,-91.0
01/05/15,ET,DEBIT,52.0
01/05/15,QC,DEBIT,94.0
01/05/15,RM,CREDIT,-24.0
01/05/15,TM,CREDIT,-47.0
01/05/15,TM,DEBIT,92.0
01/05/15,TX,DEBIT,75.0
01/06/15,AS,CREDIT,-68.0
01/06/15,AS,DEBIT,116.0
01/06/15,BT,DEBIT,47.0
01/06/15,DM,DEBIT,30.0
01/06/15,ES,DEBIT,55.0
01/06/15,ET,CREDIT,-84.0
01/06/15,ET,DEBIT,0.0
01/06/15,FC,DEBIT,35.0
01/06/15,FT,CREDIT,-29.0
01/06/15,QC,DEBIT,96.0
01/06/15,RM,CREDIT,0.0
01/06/15,TM,CREDIT,-64.0
01/06/15,TX,DEBIT,37.0
01/06/15,UC,DEBIT,25.0
01/06/15,XR,CREDIT,-70.0
01/07/15,AS,CREDIT,-154.0
01/07/15,AS,DEBIT,20.0
01/07/15,AT,DEBIT,0.0
01/07/15,BT,DEBIT,29.0
01/07/15,DP,CREDIT,-146.0
01/07/15,ES,DEBIT,185.0
01/07/15,ET,CREDIT,-17.0
01/07/15,ET,DEBIT,73.0
01/07/15,FT,DEBIT,80.0
01/07/15,QC,DEBIT,50.0
01/07/15,RM,CREDIT,-95.0
01/07/15,TM,CREDIT,-56.0
01/07/15,TX,DEBIT,47.0
01/07/15,XR,CREDIT,-51.0
01/08/15,AS,CREDIT,-117.0
01/08/15,AS,DEBIT,105.0
01/08/15,BT,DEBIT,35.0
01/08/15,CM,CREDIT,0.0
01/08/15,CP,DEBIT,50.0
01/08/15,DM,DEBIT,0.0
01/08/15,DP,CREDIT,-230.0
01/08/15,ES,DEBIT,0.0
01/08/15,ET,CREDIT,-33.0
01/08/15,ET,DEBIT,30.0
01/08/15,FC,DEBIT,3.0
01/08/15,QC,DEBIT,96.0
01/08/15,RM,CREDIT,-25.0
01/08/15,TM,CREDIT,-76.0
01/08/15,TX,DEBIT,91.0
01/09/15,AS,CREDIT,-71.0
01/09/15,AS,DEBIT,49.0
01/09/15,BT,DEBIT,26.0
01/09/15,DM,DEBIT,0.0
01/09/15,DP,CREDIT,-168.0
01/09/15,ES,DEBIT,15.0
01/09/15,ET,CREDIT,-78.0
01/09/15,ET,DEBIT,5.0
01/09/15,FC,DEBIT,61.0
01/09/15,FT,CREDIT,0.0
01/09/15,QC,DEBIT,96.0
01/09/15,RM,CREDIT,-37.0
01/09/15,TM,CREDIT,-21.0
01/09/15,TX,DEBIT,92.0
01/12/15,AS,CREDIT,-313.0
01/12/15,AS,DEBIT,177.0
01/12/15,BA,DEBIT,0.0
01/12/15,BT,DEBIT,184.0
01/12/15,DA,DEBIT,0.0
01/12/15,DM,DEBIT,158.0
01/12/15,DP,CREDIT,-197.0
01/12/15,ES,DEBIT,105.0
01/12/15,ET,CREDIT,-26.0
01/12/15,ET,DEBIT,39.0
01/12/15,FA,DEBIT,50.0
01/12/15,FC,DEBIT,30.0
01/12/15,QC,DEBIT,64.0
01/12/15,RM,CREDIT,-8.0
01/12/15,TM,DEBIT,85.0
01/12/15,TX,DEBIT,220.0
01/13/15,AS,CREDIT,-233.0
01/13/15,BT,DEBIT,57.0
01/13/15,CM,CREDIT,-75.0
01/13/15,DM,DEBIT,145.0
01/13/15,DP,CREDIT,-177.0
01/13/15,ES,DEBIT,148.0
01/13/15,ET,CREDIT,-97.0
01/13/15,ET,DEBIT,12.0
01/13/15,FC,DEBIT,50.0
01/13/15,FT,DEBIT,0.0
01/13/15,QC,DEBIT,18.0
01/13/15,RM,CREDIT,-82.0
01/13/15,TM,DEBIT,43.0
01/13/15,TX,DEBIT,28.0
01/14/15,AS,CREDIT,-105.0
01/14/15,AS,DEBIT,77.0
01/14/15,BT,DEBIT,64.0
01/14/15,DP,CREDIT,-185.0
01/14/15,ES,DEBIT,82.0
01/14/15,ET,CREDIT,-93.0
01/14/15,ET,DEBIT,16.0
01/14/15,FA,DEBIT,0.0
01/14/15,FT,DEBIT,55.0
01/14/15,QC,DEBIT,64.0
01/14/15,RM,CREDIT,-69.0
01/14/15,SD,CREDIT,0.0
01/14/15,TM,DEBIT,87.0
01/14/15,TX,DEBIT,45.0
01/15/15,AS,CREDIT,-100.0
01/15/15,BT,DEBIT,32.0
01/15/15,CP,DEBIT,35.0
01/15/15,DP,CREDIT,-167.0
01/15/15,ES,DEBIT,71.0
01/15/15,ET,CREDIT,-6.0
01/15/15,ET,DEBIT,49.0
01/15/15,FA,DEBIT,50.0
01/15/15,FT,CREDIT,-90.0
01/15/15,FT,DEBIT,0.0
01/15/15,QC,DEBIT,87.0
01/15/15,RM,CREDIT,-98.0
01/15/15,TM,DEBIT,57.0
01/15/15,TX,DEBIT,85.0
01/16/15,AS,CREDIT,-70.0
01/16/15,AS,DEBIT,15.0
01/16/15,BT,DEBIT,15.0
01/16/15,DP,CREDIT,-182.0
01/16/15,ES,DEBIT,11.0
01/16/15,ET,CREDIT,-29.0
01/16/15,ET,DEBIT,0.0
01/16/15,FC,DEBIT,74.0
01/16/15,QC,DEBIT,91.0
01/16/15,RM,CREDIT,-47.0
01/16/15,TM,CREDIT,-63.0
01/16/15,TX,DEBIT,8.0
01/16/15,UC,DEBIT,25.0
01/19/15,AS,CREDIT,-512.0
01/19/15,AS,DEBIT,71.0
01/19/15,BT,DEBIT,168.0
01/19/15,DA,DEBIT,0.0
01/19/15,DP,CREDIT,-146.0
01/19/15,ES,DEBIT,213.0
01/19/15,ET,CREDIT,-71.0
01/19/15,ET,DEBIT,32.0
01/19/15,FC,DEBIT,78.0
01/19/15,FT,CREDIT,-100.0
01/19/15,QC,DEBIT,72.0
01/19/15,RM,CREDIT,-48.0
01/19/15,SD,CREDIT,-30.0
01/19/15,TM,DEBIT,104.0
01/19/15,TX,DEBIT,150.0
01/20/15,AS,CREDIT,-250.0
01/20/15,AS,DEBIT,98.0
01/20/15,BT,DEBIT,11.0
01/20/15,DP,CREDIT,-217.0
01/20/15,ES,DEBIT,98.0
01/20/15,ET,CREDIT,-84.0
01/20/15,ET,DEBIT,62.0
01/20/15,FC,DEBIT,9.0
01/20/15,FT,CREDIT,-11.0
01/20/15,QC,DEBIT,1.0
01/20/15,RM,CREDIT,-49.0
01/20/15,SD,CREDIT,0.0
01/20/15,TM,DEBIT,3.0
01/20/15,TX,DEBIT,92.0
01/21/15,AS,CREDIT,-233.0
01/21/15,BT,DEBIT,48.0
01/21/15,CP,DEBIT,50.0
01/21/15,DP,CREDIT,-193.0
01/21/15,ES,DEBIT,90.0
01/21/15,ET,CREDIT,0.0
01/21/15,ET,DEBIT,0.0
01/21/15,FT,CREDIT,-286.0
01/21/15,FT,DEBIT,115.0
01/21/15,QC,DEBIT,81.0
01/21/15,RM,CREDIT,0.0
01/21/15,TM,DEBIT,64.0
01/21/15,TX,DEBIT,37.0
01/22/15,AS,CREDIT,-150.0
01/22/15,BT,DEBIT,22.0
01/22/15,CP,DEBIT,50.0
01/22/15,DP,CREDIT,-162.0
01/22/15,ES,DEBIT,92.0
01/22/15,ET,CREDIT,-50.0
01/22/15,ET,DEBIT,90.0
01/22/15,FC,DEBIT,53.0
01/22/15,FT,CREDIT,-55.0
01/22/15,QC,DEBIT,43.0
01/22/15,RM,CREDIT,-5.0
01/22/15,TM,DEBIT,31.0
01/23/15,AS,CREDIT,-161.0
01/23/15,AS,DEBIT,4.0
01/23/15,AT,DEBIT,0.0
01/23/15,BA,CREDIT,0.0
01/23/15,BA,DEBIT,0.0
01/23/15,BT,DEBIT,8.0
01/23/15,CM,CREDIT,-147.0
01/23/15,ES,DEBIT,66.0
01/23/15,ET,CREDIT,-5.0
01/23/15,ET,DEBIT,7.0
01/23/15,FA,DEBIT,50.0
01/23/15,FC,DEBIT,35.0
01/23/15,QC,DEBIT,40.0
01/23/15,RM,CREDIT,-61.0
01/23/15,TM,DEBIT,5.0
01/23/15,TX,DEBIT,0.0
01/26/15,AS,CREDIT,-337.0
01/26/15,AT,DEBIT,0.0
01/26/15,BA,CREDIT,0.0
01/26/15,BA,DEBIT,0.0
01/26/15,BT,DEBIT,91.0
01/26/15,DP,CREDIT,-334.0
01/26/15,ES,DEBIT,187.0
01/26/15,ET,CREDIT,-85.0
01/26/15,ET,DEBIT,97.0
01/26/15,FA,DEBIT,50.0
01/26/15,FC,DEBIT,38.0
01/26/15,FT,CREDIT,-22.0
01/26/15,FT,DEBIT,0.0
01/26/15,QC,DEBIT,72.0
01/26/15,SD,CREDIT,-53.0
01/26/15,TM,CREDIT,-28.0
01/26/15,TM,DEBIT,137.0
01/26/15,TX,DEBIT,146.0
01/27/15,AS,CREDIT,-152.0
01/27/15,AS,DEBIT,22.0
01/27/15,BT,DEBIT,43.0
01/27/15,ES,DEBIT,7.0
01/27/15,ET,CREDIT,-51.0
01/27/15,ET,DEBIT,35.0
01/27/15,FC,CREDIT,-69.0
01/27/15,QC,DEBIT,0.0
01/27/15,RM,CREDIT,-29.0
01/27/15,TM,CREDIT,-87.0
01/27/15,TX,DEBIT,43.0
01/27/15,UR,CREDIT,0.0
01/28/15,AS,CREDIT,-190.0
01/28/15,AS,DEBIT,45.0
01/28/15,BT,DEBIT,19.0
01/28/15,DP,CREDIT,-134.0
01/28/15,ES,DEBIT,165.0
01/28/15,ET,CREDIT,-59.0
01/28/15,ET,DEBIT,0.0
01/28/15,QC,DEBIT,36.0
01/28/15,RM,CREDIT,-29.0
01/28/15,TM,CREDIT,-21.0
01/28/15,TX,DEBIT,61.0
01/29/15,AS,CREDIT,-134.0
01/29/15,AS,DEBIT,84.0
01/29/15,BA,CREDIT,0.0
01/29/15,BA,DEBIT,0.0
01/29/15,BT,DEBIT,92.0
01/29/15,CP,DEBIT,10.0
01/29/15,DP,CREDIT,-265.0
01/29/15,ES,DEBIT,89.0
01/29/15,ET,CREDIT,-14.0
01/29/15,ET,DEBIT,16.0
01/29/15,FA,DEBIT,50.0
01/29/15,FT,CREDIT,-138.0
01/29/15,QC,DEBIT,76.0
01/29/15,RM,CREDIT,0.0
01/29/15,TM,DEBIT,51.0
01/29/15,TX,DEBIT,53.0
01/30/15,AS,CREDIT,-273.0
01/30/15,BT,DEBIT,73.0
01/30/15,DM,DEBIT,83.0
01/30/15,DP,CREDIT,-131.0
01/30/15,ES,DEBIT,51.0
01/30/15,ET,CREDIT,-70.0
01/30/15,ET,DEBIT,82.0
01/30/15,FA,DEBIT,50.0
01/30/15,FC,DEBIT,44.0
01/30/15,FT,CREDIT,-321.0
01/30/15,FT,DEBIT,20.0
01/30/15,QC,DEBIT,58.0
01/30/15,RM,CREDIT,-17.0
01/30/15,TM,CREDIT,-75.0
01/30/15,TX,DEBIT,13.0
01/31/15,BT,DEBIT,23.0
01/31/15,CD,DEBIT,23.0
01/31/15,DA,DEBIT,0.0
01/31/15,DD,DEBIT,66.0
01/31/15,DI,DEBIT,82.0
01/31/15,DP,DEBIT,63.0
01/31/15,ES,DEBIT,75.0
01/31/15,FE,DEBIT,90.0
01/31/15,LS,DEBIT,17.0
01/31/15,MD,DEBIT,55.0
01/31/15,OF,DEBIT,6.0
01/31/15,PP,DEBIT,34.0
01/31/15,QC,DEBIT,88.0
01/31/15,RM,DEBIT,85.0
01/31/15,TM,DEBIT,50.0
01/31/15,TT,DEBIT,52.0
01/31/15,UC,DEBIT,55.0
01/31/15,UR,DEBIT,20.0
01/31/15,XR,DEBIT,75.0
02/02/15,AO,DEBIT,0.0
02/02/15,AS,CREDIT,-273.0
02/02/15,AS,DEBIT,48.0
02/02/15,BT,DEBIT,166.0
02/02/15,ES,DEBIT,169.0
02/02/15,ET,CREDIT,-11.0
02/02/15,ET,DEBIT,46.0
02/02/15,FC,DEBIT,96.0
02/02/15,FT,CREDIT,-103.0
02/02/15,FT,DEBIT,31.0
02/02/15,QC,DEBIT,66.0
02/02/15,RM,CREDIT,-75.0
02/02/15,TM,CREDIT,-25.0
02/02/15,TM,DEBIT,74.0
02/02/15,TX,DEBIT,151.0
02/03/15,AS,CREDIT,-23.0
02/03/15,AS,DEBIT,70.0
02/03/15,BT,DEBIT,34.0
02/03/15,CM,CREDIT,-75.0
02/03/15,DP,CREDIT,-432.0
02/03/15,ES,DEBIT,10.0
02/03/15,ET,CREDIT,-8.0
02/03/15,ET,DEBIT,82.0
02/03/15,FC,CREDIT,-70.0
02/03/15,FC,DEBIT,39.0
