GroupName,Date,TotalPredictedAmount
Group 9,2021-01-01,57322.26
Group 9,2021-01-02,33628.53
Group 9,2021-01-03,36137.69
Group 9,2021-01-04,37285.24
Group 9,2021-01-05,14359.19
Group 9,2021-01-06,-4441.48
Group 9,2021-01-07,-12583.12
Group 9,2021-01-08,10898.72
Group 9,2021-01-09,-10445.18
Group 9,2021-01-10,536.42
Group 9,2021-01-11,39100.56
Group 9,2021-01-12,19659.1
Group 9,2021-01-13,20410.75
Group 9,2021-01-14,12278.41
Group 9,2021-01-15,-7074.41
Group 9,2021-01-16,-12514.61
Group 9,2021-01-17,-5602.1
Group 9,2021-01-18,34207.93
Group 9,2021-01-19,17598.44
Group 9,2021-01-20,15518.67
Group 9,2021-01-21,-4617.01
Group 9,2021-01-22,22115.18
Group 9,2021-01-23,10434.75
Group 9,2021-01-24,6060.23
Group 9,2021-01-25,42394.87
Group 9,2021-01-26,26302.28
Group 9,2021-01-27,13784.32
Group 9,2021-01-28,18334.9
Group 9,2021-01-29,-18374.8
Group 9,2021-01-30,-6396.73
Group 9,2021-01-31,-28842.8
Group 9,2021-02-01,53259.88
Group 9,2021-02-02,25948.01
Group 9,2021-02-03,28220.11
Group 9,2021-02-04,-4762.88
Group 9,2021-02-05,9903.96
Group 9,2021-02-06,-13412.96
Group 9,2021-02-07,-2342.79
Group 9,2021-02-08,29851.45
Group 9,2021-02-09,10480.51
Group 9,2021-02-10,9813.66
Group 9,2021-02-11,41864.08
Group 9,2021-02-12,29487.35
Group 9,2021-02-13,3083.84
Group 9,2021-02-14,3136.16
Group 9,2021-02-15,11356.98
Group 9,2021-02-16,10136.42
Group 9,2021-02-17,10432.99
Group 9,2021-02-18,9781.16
Group 9,2021-02-19,19504.29
Group 9,2021-02-20,5131.13
Group 9,2021-02-21,4881.43
Group 9,2021-02-22,10725.41
Group 9,2021-02-23,20989.65
Group 9,2021-02-24,17033.07
Group 9,2021-02-25,17010.92
Group 9,2021-02-26,21437.39
Group 9,2021-02-27,3463.5
Group 9,2021-02-28,931.2
Group 9,2021-03-01,20717.91
Group 9,2021-03-02,25018.58
Group 9,2021-03-03,26276.37
Group 9,2021-03-04,26101.37
Group 9,2021-03-05,18218.53
Group 9,2021-03-06,-439.99
Group 9,2021-03-07,-120.89
Group 9,2021-03-08,44766.96
Group 9,2021-03-09,33094.08
Group 9,2021-03-10,44041.4
Group 9,2021-03-11,17021.02
Group 9,2021-03-12,24188.7
Group 9,2021-03-13,304.03
Group 9,2021-03-14,-177.06
Group 9,2021-03-15,20831.47
Group 9,2021-03-16,10004.93
Group 9,2021-03-17,23086.35
Group 9,2021-03-18,24849.98
Group 9,2021-03-19,38170.61
Group 9,2021-03-20,3448.85
Group 9,2021-03-21,-1640.91
Group 9,2021-03-22,15044.27
Group 9,2021-03-23,2093.92
Group 9,2021-03-24,7611.23
Group 9,2021-03-25,5983.17
Group 9,2021-03-26,8233.87
Group 9,2021-03-27,-12615.74
Group 9,2021-03-28,-12927.86
Group 9,2021-03-29,35668.94
Group 9,2021-03-30,13807.13
Group 9,2021-03-31,15836.95
